Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C7",0603,2,10uf,
"C10, C11, C6",1206,3,22uF,
C12,0603,1,75pF,
"C13, C15, C16, C17, C2",0603,5,1uF,
C14,0603,1,10nF,
"C18, C4, C5, C8, C9",0603,5,100nF,
C3,C_Elec_5x5.8,1,22uF,C336246
"CN1, CN2, CN3",CONN-TH_0428192214,3,428192213,C563817
"CN10, CN11, CN12, CN14, CN15, CN16, CN18, CN19, CN20, CN6, CN7, CN8",CONN-TH_39288020,12,39288020,C490534
"CN13, CN17, CN5, CN9",CONN-TH_3P-P4.20_39302030,4,39302030,C589033
CN4,CONN-SMD_BM04B-SRSS-TB,1,BM04B-SRSS-TB(LF)(SN),C160390
D1,0603,1,LED,C2290
"D2, D4, D6, D8",0603,4,LED,C2286
"D3, D5, D7, D9",D_SMB,4,D_TVS,C151256
"FH1, FH10, FH11, FH12, FH13, FH14, FH15, FH16, FH2, FH3, FH4, FH5, FH6, FH7, FH8, FH9",FUSE-SMD_L9.8-W5.0_01550900M,16,01550900M,C108518
L1,IND-SMD_L4.0-W4.0_XAL4040-103,1,XGL4040-153MEC,C3911667
"Q1, Q2",SOT-23,2,BSS138,
"R1, R13, R14, R15, R2, R3, R6",0603,7,10k,
R10,0603,1,49.9,
R11,0603,1,100k,
R12,0603,1,13.3k,
"R16, R19, R22, R25",0603,4,1.5k,
"R17, R20, R23, R26",0603,4,4.7k,
"R18, R21, R24, R27",0603,4,3.3k,
"R4, R5, R7, R8",0603,4,82,
R9,0603,1,330,
"SW1, SW2",KEY-SMD_B3U-1000PM,2,KEY-SMD_B3U-1000PM,C231329
U1,TSSOP-14_L5.0-W4.4-P0.65-LS6.4-BL,1,SN74AHCT125PWR,C36365
U2,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U3,SOT-23-6,1,TPS54202DDC,
U4,SOT-223-6_L6.5-W3.5-P1.27-LS7.0-BR,1,TPS73733DCQ_C5220270,C5220270
U5,MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL,1,ADS1115IDGSR,C37593
"U6, U7, U8, U9",PG-TSDSO-14_L4.9-W3.9-P0.65-LS6.0-BL-EP,4,BTS70021EPPXUMA1,C2680407
